ProductID,ProductName,Ratings,Inventory,Price,Discounted_Price,Country
6256,Book:Continental Mark VII,4.1,137,86,77.4,Germany
7136,Book:Swift,4.1,69,25,22.5,Germany
70862,Book:Crown Victoria,5,111,97,87.3,Germany
34066,Book:62,5,6,21,18.9,Germany
5399,Book:Explorer,5,27,57,51.3,Germany
58,Book:LSS,1,35,95,85.5,Germany
69,Book:Focus,2.3,37,73,65.7,Germany
40419,Book:Cooper,4.1,50,80,72,Germany
5601,Book:Coachbuilder,2.3,138,64,57.6,Germany
9950,Book:300,4.1,77,11,9.9,Germany
8123,Book:RS 6,4.1,155,20,18,Germany
318,Book:Tucson,5,156,29,26.1,Germany
4665,Book:Eos,3,139,20,18,Germany
5272,Book:Tracker,3,101,99,89.1,Germany
53816,Book:Miata MX-5,3.5,92,45,40.5,Germany
81,Book:Land Cruiser,2.3,99,79,71.1,Germany
35410,Book:Xterra,1,153,8,7.2,Germany
34359,Book:S2000,3.5,72,14,12.6,Germany
44221,Book:Savana 1500,3.5,61,100,90,Germany
6955,Book:Phantom,2.3,140,31,27.9,Germany
489,Book:CL-Class,2.3,180,79,71.1,Germany
204,Book:Paseo,4.1,12,32,28.8,Germany
9401,Book:Bronco II,3.5,130,70,63,Germany
765,Book:Town Car,1,162,30,27,Germany
496,Book:Grand Prix,4.1,169,62,55.8,Germany
4397,Book:Savana 3500,3.5,36,19,17.1,Germany
433,Book:Suburban 1500,2.3,44,80,72,Germany
556,Book:SLK-Class,2.3,65,80,72,Germany
21,Book:S-Series,4.1,197,17,15.3,Germany
494,Book:Enclave,5,90,70,63,Germany
5373,Book:Prius,4.1,158,11,9.9,Germany
14854,Book:Mirage,4.1,64,38,34.2,Germany
218,Book:Baja,3.5,193,41,36.9,Germany
81716,Book:HS,1,189,46,41.4,Germany
4001,Book:Sky,1,56,55,49.5,Germany
488,Book:Silverado 1500,2.3,11,48,43.2,Germany
87842,Book:Fusion,2.3,24,96,86.4,Germany
3279,Book:8 Series,5,150,70,63,Germany
625,Book:Protege,5,139,100,90,Germany
86,Book:S-Class,4.1,21,46,41.4,Germany
5607,Book:Gallardo,3.5,155,79,71.1,Germany
22,Book:Silverado,1,47,94,84.6,Germany
50,Book:GX,5,22,70,63,Germany
89,Book:Ranger,5,184,30,27,Germany
67465,Book:Santa Fe,4.1,25,87,78.3,Germany
5101,Book:Town & Country,3.5,163,8,7.2,Germany
389,Book:GTO,4.1,5,3,2.7,Germany
597,Book:DeVille,3.5,33,4,3.6,Germany
195,Book:RX-7,1,143,64,57.6,Germany
44,Book:Cherokee,1,199,8,7.2,Germany
199,Book:Highlander,1,40,10,9,Germany
3318,Book:Prelude,1,139,3,2.7,Germany
78042,Book:B-Series Plus,4.1,45,98,88.2,Germany
656,Book:Expedition,5,34,38,34.2,Germany
844,Book:Sportvan G20,1,57,74,66.6,Germany
